id,fence_id,status,message_time,image
439,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
440,24,open,2025-03-28 18:43:17,/static/images/open.png
441,1,closed,2025-03-28 18:45:42,/static/images/closed.png
442,3,closed,2025-03-28 18:54:04,/static/images/closed.png
443,3,open,2025-03-28 18:06:52,/static/images/open.png
444,9,closed,2025-03-28 18:07:36,/static/images/closed.png
445,23,closed,2025-03-28 18:10:12,/static/images/closed.png
446,12,open,2025-03-28 18:11:04,/static/images/open.png
447,14,open,2025-03-28 18:20:18,/static/images/open.png
448,18,open,2025-03-28 18:27:12,/static/images/open.png
449,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
450,24,open,2025-03-28 18:43:17,/static/images/open.png
451,1,closed,2025-03-28 18:45:42,/static/images/closed.png
452,3,closed,2025-03-28 18:54:04,/static/images/closed.png
453,14,open,2025-03-28 18:55:23,/static/images/open.png
454,3,open,2025-03-28 18:06:52,/static/images/open.png
455,9,closed,2025-03-28 18:07:36,/static/images/closed.png
456,23,closed,2025-03-28 18:10:12,/static/images/closed.png
457,12,open,2025-03-28 18:11:04,/static/images/open.png
458,14,open,2025-03-28 18:20:18,/static/images/open.png
459,18,open,2025-03-28 18:27:12,/static/images/open.png
460,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
461,24,open,2025-03-28 18:43:17,/static/images/open.png
462,1,closed,2025-03-28 18:45:42,/static/images/closed.png
463,3,closed,2025-03-28 18:54:04,/static/images/closed.png
464,14,open,2025-03-28 18:55:23,/static/images/open.png
465,12,open,2025-03-28 19:00:13,/static/images/open.png
466,1,closed,2025-03-28 19:00:23,/static/images/closed.png
467,7,open,2025-03-28 19:01:01,/static/images/open.png
468,3,open,2025-03-28 18:06:52,/static/images/open.png
469,9,closed,2025-03-28 18:07:36,/static/images/closed.png
470,23,closed,2025-03-28 18:10:12,/static/images/closed.png
471,12,open,2025-03-28 18:11:04,/static/images/open.png
472,14,open,2025-03-28 18:20:18,/static/images/open.png
473,18,open,2025-03-28 18:27:12,/static/images/open.png
474,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
475,24,open,2025-03-28 18:43:17,/static/images/open.png
476,1,closed,2025-03-28 18:45:42,/static/images/closed.png
477,3,closed,2025-03-28 18:54:04,/static/images/closed.png
478,14,open,2025-03-28 18:55:23,/static/images/open.png
479,12,open,2025-03-28 19:00:13,/static/images/open.png
480,1,closed,2025-03-28 19:00:23,/static/images/closed.png
481,7,open,2025-03-28 19:01:01,/static/images/open.png
482,14,open,2025-03-28 18:20:18,/static/images/open.png
483,18,open,2025-03-28 18:27:12,/static/images/open.png
484,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
485,24,open,2025-03-28 18:43:17,/static/images/open.png
486,1,closed,2025-03-28 18:45:42,/static/images/closed.png
487,3,closed,2025-03-28 18:54:04,/static/images/closed.png
488,14,open,2025-03-28 18:55:23,/static/images/open.png
489,12,open,2025-03-28 19:00:13,/static/images/open.png
490,1,closed,2025-03-28 19:00:23,/static/images/closed.png
491,7,open,2025-03-28 19:01:01,/static/images/open.png
492,11,open,2025-03-28 19:10:18,/static/images/open.png
493,14,open,2025-03-28 18:20:18,/static/images/open.png
494,18,open,2025-03-28 18:27:12,/static/images/open.png
495,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
496,24,open,2025-03-28 18:43:17,/static/images/open.png
497,1,closed,2025-03-28 18:45:42,/static/images/closed.png
498,3,closed,2025-03-28 18:54:04,/static/images/closed.png
499,14,open,2025-03-28 18:55:23,/static/images/open.png
500,12,open,2025-03-28 19:00:13,/static/images/open.png
501,1,closed,2025-03-28 19:00:23,/static/images/closed.png
502,7,open,2025-03-28 19:01:01,/static/images/open.png
503,11,open,2025-03-28 19:10:18,/static/images/open.png
504,14,open,2025-03-28 18:20:18,/static/images/open.png
505,18,open,2025-03-28 18:27:12,/static/images/open.png
506,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
507,24,open,2025-03-28 18:43:17,/static/images/open.png
508,1,closed,2025-03-28 18:45:42,/static/images/closed.png
509,3,closed,2025-03-28 18:54:04,/static/images/closed.png
510,14,open,2025-03-28 18:55:23,/static/images/open.png
511,12,open,2025-03-28 19:00:13,/static/images/open.png
512,1,closed,2025-03-28 19:00:23,/static/images/closed.png
513,7,open,2025-03-28 19:01:01,/static/images/open.png
514,11,open,2025-03-28 19:10:18,/static/images/open.png
515,13,open,2025-03-28 19:12:40,/static/images/open.png
516,14,open,2025-03-28 18:20:18,/static/images/open.png
517,18,open,2025-03-28 18:27:12,/static/images/open.png
518,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
519,24,open,2025-03-28 18:43:17,/static/images/open.png
520,1,closed,2025-03-28 18:45:42,/static/images/closed.png
521,3,closed,2025-03-28 18:54:04,/static/images/closed.png
522,14,open,2025-03-28 18:55:23,/static/images/open.png
523,12,open,2025-03-28 19:00:13,/static/images/open.png
524,1,closed,2025-03-28 19:00:23,/static/images/closed.png
525,7,open,2025-03-28 19:01:01,/static/images/open.png
526,11,open,2025-03-28 19:10:18,/static/images/open.png
527,13,open,2025-03-28 19:12:40,/static/images/open.png
528,9,closed,2025-03-28 19:13:46,/static/images/closed.png
529,18,open,2025-03-28 18:27:12,/static/images/open.png
530,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
531,24,open,2025-03-28 18:43:17,/static/images/open.png
532,1,closed,2025-03-28 18:45:42,/static/images/closed.png
533,3,closed,2025-03-28 18:54:04,/static/images/closed.png
534,14,open,2025-03-28 18:55:23,/static/images/open.png
535,12,open,2025-03-28 19:00:13,/static/images/open.png
536,1,closed,2025-03-28 19:00:23,/static/images/closed.png
537,7,open,2025-03-28 19:01:01,/static/images/open.png
